"","","modele_1a","modele_1b","modele_2b"
"1","Dependent Var.:","roaa","roaa","roaa"
"2"," "," "," "," "
"3","Constant","0.0300*** (0.0070)","  ","  "
"4","niveau_fourn2","0.0183** (0.0072)","0.0384*** (0.0081)","  "
"5","niveau_fourn3","0.0220*** (0.0074)","0.0401*** (0.0081)","  "
"6","niveau_fourn4","0.0068 (0.0074)","0.0281*** (0.0083)","  "
"7","croissance","  ","0.0717*** (0.0168)","0.0741*** (0.0178)"
"8","productivite_verte","  ","0.0778 (0.0801)","0.0591 (0.0857)"
"9","propriete1","  ","-0.0066** (0.0028)","-0.0077*** (0.0028)"
"10","niveau_client2","  ","  ","0.0121** (0.0054)"
"11","niveau_client3","  ","  ","0.0174*** (0.0055)"
"12","Fixed-Effects:","------------------","------------------","-------------------"
"13","secteur","No","Yes","Yes"
"14","__________________","__________________","__________________","___________________"
"15","S.E. type","Heteroskedas.-rob.","Heteroskedas.-rob.","Heteroskedast.-rob."
"16","Observations","2,112","2,106","2,106"
"17","R2","0.01447","0.17426","0.15868"
"18","Within R2","--","0.12721","0.11074"
