"","","modele_3a","modele_3b"
"1","Dependent Var.:","roaa","roaa"
"2"," "," "," "
"3","niveau_fourn2","0.0374*** (0.0110)","  "
"4","niveau_fourn3","0.0391*** (0.0109)","  "
"5","niveau_fourn4","0.0330*** (0.0113)","  "
"6","index_digital","-0.0019 (0.0050)","-0.0013 (0.0035)"
"7","croissance","0.0715*** (0.0168)","0.0740*** (0.0177)"
"8","productivite_verte","0.0772 (0.0803)","0.0587 (0.0859)"
"9","propriete1","-0.0065** (0.0028)","-0.0077*** (0.0028)"
"10","niveau_fourn2 x index_digital","0.0010 (0.0052)","  "
"11","niveau_fourn3 x index_digital","0.0009 (0.0053)","  "
"12","niveau_fourn4 x index_digital","-0.0023 (0.0054)","  "
"13","niveau_client2","  ","0.0155** (0.0075)"
"14","niveau_client3","  ","0.0175** (0.0075)"
"15","niveau_client2 x index_digital","  ","-0.0021 (0.0039)"
"16","niveau_client3 x index_digital","  ","0.0001 (0.0037)"
"17","Fixed-Effects:","------------------","-------------------"
"18","secteur","Yes","Yes"
"19","______________________________","__________________","___________________"
"20","S.E. type","Heteroskedas.-rob.","Heteroskedast.-rob."
"21","Observations","2,106","2,106"
"22","R2","0.17620","0.16013"
"23","Within R2","0.12926","0.11228"
