"";"";"modele_4a";"modele_4b"
"1";"Dependent Var.:";"roaa";"roaa"
"2";" ";" ";" "
"3";"niveau_fourn2";"0.0376*** (0.0082)";"  "
"4";"niveau_fourn3";"0.0405*** (0.0082)";"  "
"5";"niveau_fourn4";"0.0280*** (0.0084)";"  "
"6";"chaine_verte1";"0.0171 (0.0119)";"0.0081 (0.0066)"
"7";"croissance";"0.0715*** (0.0168)";"0.0744*** (0.0179)"
"8";"productivite_verte";"0.0860 (0.0803)";"0.0652 (0.0859)"
"9";"propriete1";"-0.0065** (0.0028)";"-0.0079*** (0.0028)"
"10";"niveau_fourn2 x chaine_verte1";"0.0006 (0.0127)";"  "
"11";"niveau_fourn3 x chaine_verte1";"-0.0169 (0.0143)";"  "
"12";"niveau_fourn4 x chaine_verte1";"-0.0085 (0.0127)";"  "
"13";"niveau_client2";"  ";"0.0119** (0.0056)"
"14";"niveau_client3";"  ";"0.0171*** (0.0057)"
"15";"niveau_client2 x chaine_verte1";"  ";"0.0228* (0.0121)"
"16";"niveau_client3 x chaine_verte1";"  ";"0.0050 (0.0078)"
"17";"Fixed-Effects:";"------------------";"-------------------"
"18";"secteur";"Yes";"Yes"
"19";"______________________________";"__________________";"___________________"
"20";"S.E. type";"Heteroskedas.-rob.";"Heteroskedast.-rob."
"21";"Observations";"2,106";"2,106"
"22";"R2";"0.17834";"0.16349"
"23";"Within R2";"0.13153";"0.11583"
