"","","modele_bas_digital","modele_haut_digi.."
"1","Dependent Var.:","roaa","roaa"
"2"," "," "," "
"3","niveau_fourn2","0.0412*** (0.0108)","0.0330*** (0.0102)"
"4","niveau_fourn3","0.0416*** (0.0107)","0.0365*** (0.0106)"
"5","niveau_fourn4","0.0364*** (0.0109)","0.0178 (0.0109)"
"6","croissance","0.0631*** (0.0234)","0.0875*** (0.0228)"
"7","productivite_verte","0.0934 (0.1153)","0.0846 (0.1103)"
"8","propriete1","-0.0139*** (0.0039)","-9.42e-5 (0.0043)"
"9","Fixed-Effects:","-------------------","------------------"
"10","secteur","Yes","Yes"
"11","__________________","___________________","__________________"
"12","S.E. type","Heteroskedast.-rob.","Heteroskedas.-rob."
"13","Observations","1,049","1,049"
"14","R2","0.15178","0.24483"
"15","Within R2","0.12691","0.15596"
