"","","modele_ref","modele_robuste_1","modele_robuste_2"
"1","Dependent Var.:","roaa","roaa","roaa"
"2"," "," "," "," "
"3","niveau_fourn2","0.0384*** (0.0081)","0.0229*** (0.0052)","  "
"4","niveau_fourn3","0.0401*** (0.0081)","0.0233*** (0.0052)","  "
"5","niveau_fourn4","0.0281*** (0.0083)","0.0160*** (0.0053)","  "
"6","croissance","0.0717*** (0.0168)","0.0434*** (0.0118)","0.0427*** (0.0119)"
"7","productivite_verte","0.0778 (0.0801)","0.0713 (0.0527)","0.0702 (0.0543)"
"8","propriete1","-0.0066** (0.0028)","-0.0104*** (0.0023)","-0.0110*** (0.0022)"
"9","niveau_client2","  ","  ","0.0026 (0.0035)"
"10","niveau_client3","  ","  ","0.0068** (0.0034)"
"11","Fixed-Effects:","------------------","-------------------","-------------------"
"12","secteur","Yes","Yes","Yes"
"13","__________________","__________________","___________________","___________________"
"14","S.E. type","Heteroskedas.-rob.","Heteroskedast.-rob.","Heteroskedast.-rob."
"15","Observations","2,106","1,999","1,999"
"16","R2","0.17426","0.14645","0.13308"
"17","Within R2","0.12721","0.09354","0.07935"
